T,query_strategy,simulation,prior_included,prior_excluded,n_queries,n_instances
46,random,46,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
47,random,47,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
48,random,48,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
49,random,49,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
50,lc,0,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
51,lc,1,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
52,lc,2,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
53,lc,3,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
54,lc,4,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
55,lc,5,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
56,lc,6,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
57,lc,7,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
58,lc,8,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
59,lc,9,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
60,lc,10,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
61,lc,11,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
62,lc,12,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
63,lc,13,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
64,lc,14,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
65,lc,15,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
66,lc,16,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
67,lc,17,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
68,lc,18,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
69,lc,19,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
70,lc,20,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
71,lc,21,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
72,lc,22,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
73,lc,23,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
74,lc,24,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
75,lc,25,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
76,lc,26,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
77,lc,27,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
78,lc,28,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
79,lc,29,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
80,lc,30,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
81,lc,31,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
82,lc,32,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
83,lc,33,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
84,lc,34,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
85,lc,35,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
86,lc,36,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
